Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772127244663,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.33821868896484375,1.0614166259765625,0,0,0,0.7127304077148438,1.0007476806640625,0.4220123291015625,1.7625274658203125,0.25572967529296875,0.3353424072265625,0.5559005737304688,0.241485595703125,0,0,11.713264465332031,62.94471740722656,0,0.0386962890625,0,0,8151,341,8496,47,1,97039.92858886719,54199.182678222656,483.51348876953125,34053414912,2147483648,7519019008,0
200,1772127244663,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,16.056137084960938,25.098678588867188,15.88140869140625,15.880844116210938,18.902748107910156,25.9129638671875,25.81456756591797,18.502960205078125,32.51433563232422,23.705345153808594,33.855079650878906,18.407394409179688,34.051300048828125,15.820335388183594,15.973579406738281,53.939674377441406,85.83594512939453,15.88140869140625,18.472984313964844,15.88140869140625,0,8151,341,8496,47,1,97040.63317871094,54199.78662109375,483.51348876953125,34053414912,2147483648,7522029568,0
200,1772127244864,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,1.382049560546875,16.66124725341797,0.9207687377929688,0.7308807373046875,0.7340469360351563,2.139678955078125,2.1190719604492188,1.0203933715820313,1.9633102416992188,0.8246612548828125,0.8445281982421875,0.747772216796875,7.453498840332031,0.7265701293945313,0.9833908081054688,65.85408020019531,39.13054275512695,0.744110107421875,1.09490966796875,0.7304840087890625,0,8151,341,8496,47,1,97045.05731201172,54202.50524902344,483.51348876953125,34053414912,2147483648,7491391488,0
200,1772127245064,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.7209930419921875,13.142494201660156,0.46976470947265625,0.19612884521484375,0.25836181640625,14.043601989746094,13.641403198242188,7.146942138671875,34.782737731933594,12.563835144042969,0.4657745361328125,0.51263427734375,10.3416748046875,0.22562408447265625,0.46417236328125,54.02848815917969,62.967201232910156,0.237152099609375,4.3216094970703125,0.22452545166015625,0,8151,341,9239,47,1,97051.50018310547,54207.11199951172,483.51348876953125,34053414912,2147483648,7503388672,0
200,1772127245264,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.3274993896484375,4.952568054199219,0.10901641845703125,0.01084136962890625,8.061065673828125,14.934944152832031,7.00433349609375,1.88214111328125,20.360000610351563,8.252670288085938,7.835685729980469,0.2871246337890625,28.927825927734375,0,0.20294189453125,45.027870178222656,24.96698760986328,0.0030975341796875,1.293701171875,0.01743316650390625,0,8151,341,9239,47,1,97056.16259765625,54210.04748535156,483.51348876953125,34053414912,2147483648,7493562368,0
199,1772127245465,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,1.0169906616210938,3.2769927978515625,0.0010986328125,0.0010986328125,0.231903076171875,42.36314010620117,17.658737182617188,39.48685073852539,3.08807373046875,3.95458984375,3.2509307861328125,0.2041473388671875,6.362220764160156,0,0.10733795166015625,14.633621215820313,16.099395751953125,0,0.0677490234375,0.0025482177734375,0,8151,341,9239,47,1,97058.93341064453,54211.25817871094,483.513671875,34053414912,2147483648,7487537152,0
200,1772127245665,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.8867416381835938,1.7036666870117188,0.41562652587890625,0.37113189697265625,0.4573822021484375,25.768814086914063,17.446006774902344,34.36766052246094,3.2925643920898438,16.765830993652344,1.4294815063476563,2.014312744140625,13.111572265625,0.35929107666015625,0.5234527587890625,26.281036376953125,31.348533630371094,0.37917327880859375,0.44429779052734375,0.3709259033203125,0,8151,341,9548,47,0,97062.33013916016,54212.940185546875,483.513671875,34053414912,2147483648,7487229952,0
200,1772127245865,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0,1.9621124267578125,0.000396728515625,0,0,15.997604370117188,8.827728271484375,0.42176055908203125,0.6559982299804688,0.250762939453125,0,0,36.625545501708984,0,0,38.35536193847656,48.63214874267578,0,0,0,0,8151,341,9548,47,0,97066.15954589844,54215.0048828125,483.513671875,34053414912,2147483648,7488376832,0
200,1772127246066,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.8231735229492188,6.010467529296875,0.45548248291015625,0.439788818359375,0.5073471069335938,1.3550796508789063,1.28582763671875,1.3344039916992188,13.861946105957031,1.0834426879882813,0.5430679321289063,0.5941390991210938,2.311126708984375,0.47151947021484375,0.6268692016601563,38.08134460449219,34.002899169921875,0.48183441162109375,0.7914352416992188,0.43968963623046875,0,8151,341,9847,47,0,97070.90356445313,54218.031311035156,483.513671875,34053414912,2147483648,7534637056,0
200,1772127246266,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.352691650390625,8.32061767578125,0.36687469482421875,0,0.1174163818359375,0.7458343505859375,0.9900054931640625,0.43000030517578125,1.0423965454101563,0.2974090576171875,0.5346832275390625,0.19896697998046875,6.291114807128906,0.00853729248046875,0.10073089599609375,46.68446350097656,46.08121109008789,0.0030975341796875,1.7631607055664063,0,0,8151,341,9847,47,0,97076.51806640625,54221.765563964844,483.513671875,34053414912,2147483648,7569010688,0
200,1772127246466,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.339935302734375,16.68212890625,0.34307861328125,0.00324249267578125,0.04468536376953125,10.297561645507813,7.649299621582031,0.362030029296875,4.8846282958984375,0.19181060791015625,0.210662841796875,9.208885192871094,3.2438507080078125,0.01610565185546875,0.1068267822265625,57.323875427246094,45.17322540283203,0.007232666015625,0.7786712646484375,0.00339508056640625,0,8151,341,9847,47,0,97083.35534667969,54226.66979980469,483.513671875,34053414912,2147483648,7551717376,0
200,1772127246667,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.96978759765625,3.5605621337890625,0.610443115234375,0.05486297607421875,0.04425048828125,3.488006591796875,3.7791748046875,1.4699478149414063,24.93175506591797,0.47076416015625,0.077239990234375,3.9985885620117188,10.496658325195313,0.056610107421875,0.19927978515625,34.41801452636719,29.95075225830078,0.04569244384765625,0.6431808471679688,0.06143951416015625,0,8151,341,9599,46,0,97087.11627197266,54228.88049316406,483.513671875,34053414912,2147483648,7593709568,0
200,1772127246868,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.6474533081054688,0.47000885009765625,0.12049102783203125,0.12044525146484375,0.1871185302734375,50.33192443847656,40.35246658325195,0.95172119140625,11.284286499023438,1.5420684814453125,0.30033111572265625,0.16314697265625,0.19438934326171875,0.1175537109375,0.1515350341796875,5.632598876953125,18.43299102783203,0.1055450439453125,0.178741455078125,0.1196441650390625,0,8151,341,9599,46,0,97089.6714477539,54229.96813964844,483.513671875,34053414912,2147483648,7593734144,0
200,1772127247068,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.819305419921875,1.2019271850585938,0.085357666015625,0.0636444091796875,0.45749664306640625,84.20123291015625,2.0840225219726563,17.483200073242188,1.0449295043945313,0.5286788940429688,0.31707763671875,0.21324920654296875,0.34014129638671875,0.067840576171875,0.1531982421875,41.63418197631836,10.687225341796875,0.09569549560546875,0.2815399169921875,0.06354522705078125,0,8151,341,9162,47,0,97093.22955322266,54231.850524902344,483.51373291015625,34053414912,2147483648,7593861120,0
200,1772127247268,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.46746063232421875,2.4932632446289063,0.3594207763671875,0.16663360595703125,0.28136444091796875,40.77996826171875,24.089279174804688,9.554595947265625,1.0982131958007813,0.3642578125,0.34329986572265625,0.3240814208984375,0.756561279296875,0.16738128662109375,0.2562103271484375,51.684898376464844,20.84239959716797,0.176513671875,0.39440155029296875,0.1668853759765625,0,8151,341,9162,47,0,97097.7080078125,54234.58905029297,483.51373291015625,34053414912,2147483648,7569899520,0
200,1772127247469,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.29868316650390625,6.149269104003906,0.03849029541015625,0.03839111328125,0.03833770751953125,1.4677276611328125,0.9982528686523438,0.17333221435546875,4.6305694580078125,0.1238555908203125,0.0872650146484375,0.0462799072265625,0.8485870361328125,0.03569793701171875,0.2076263427734375,44.28348922729492,41.97346878051758,0.0501251220703125,0.0792236328125,0.038543701171875,0,8151,341,9162,47,0,97103.44714355469,54238.59509277344,483.51373291015625,34053414912,2147483648,7583641600,0
200,1772127247669,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.8534317016601563,7.543052673339844,0.41646575927734375,0,0.7730636596679688,6.7553253173828125,8.673263549804688,3.3731689453125,19.448158264160156,3.7151031494140625,2.8305435180664063,0.5760040283203125,15.212722778320313,0,0.1518096923828125,32.153465270996094,49.90219497680664,0,0.631378173828125,0,0,8151,341,8939,47,0,97107.7562866211,54241.03259277344,483.5137939453125,34053414912,2147483648,7587713024,0
200,1772127247869,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.29003143310546875,14.295173645019531,0.118072509765625,0.087554931640625,0.08740234375,2.9230422973632813,0.56103515625,0.2963714599609375,2.4225921630859375,0.26371002197265625,0.1844940185546875,0.11327362060546875,1.6972427368164063,0.087158203125,0.224700927734375,45.56998062133789,69.33123016357422,0.09464263916015625,0.31195831298828125,0.0876007080078125,0,8151,341,8939,47,0,97113.63671875,54245.00573730469,483.5137939453125,34053414912,2147483648,7600742400,0
200,1772127248070,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.23072052001953125,5.026329040527344,0.1204986572265625,0,0.6271286010742188,1.407562255859375,0.7717132568359375,0.41915130615234375,0.6456298828125,0.3416900634765625,0.10852813720703125,0.11450958251953125,3.5834503173828125,0,0.20862579345703125,46.556697845458984,49.4724235534668,0.04059600830078125,0.35416412353515625,0,0,8151,341,8967,47,0,97119.40637207031,54249.01770019531,483.5137939453125,34053414912,2147483648,7607705600,0
200,1772127248270,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.45236968994140625,7.1247406005859375,1.3337020874023438,0.19073486328125,0.302093505859375,2.514739990234375,0.8083953857421875,0.678924560546875,1.71258544921875,0.6208038330078125,0.46977996826171875,0.4116058349609375,9.987228393554688,0.20151519775390625,0.32643890380859375,45.33232879638672,66.28336334228516,0.1955718994140625,6.507881164550781,0.20879364013671875,0,8151,341,8967,47,0,97125.37371826172,54253.13116455078,483.5137939453125,34053414912,2147483648,7618990080,0
200,1772127248471,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.67724609375,14.861030578613281,0.15488433837890625,0.15488433837890625,0.15493011474609375,1.4890823364257813,0.5013656616210938,0.3800048828125,3.0333786010742188,0.29779815673828125,0.19992828369140625,0.1551361083984375,5.1323699951171875,0.10614776611328125,0.19214630126953125,58.5184211730957,65.6801986694336,0.15657806396484375,0.44763946533203125,0.15488433837890625,0,8151,341,8967,47,0,97132.2826538086,54258.06182861328,483.5137939453125,34053414912,2147483648,7629197312,0
200,1772127248671,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.5390548706054688,7.948020935058594,0.9982147216796875,0,0.00324249267578125,1.8249664306640625,1.3818817138671875,0.35935211181640625,3.2725601196289063,0.23392486572265625,0.03275299072265625,1.9126968383789063,7.9083251953125,0,0.0916748046875,51.367977142333984,49.06037902832031,0,1.6182022094726563,0,0,8151,341,8270,47,0,97138.22088623047,54262.23327636719,483.513916015625,34053414912,2147483648,7644913664,0
200,1772127248872,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.20174407958984375,10.990509033203125,0.0339508056640625,0.01904296875,0.01894378662109375,0.847442626953125,0.43408966064453125,0.82965087890625,2.5672607421875,0.06784820556640625,0.0391845703125,0.01849365234375,8.332275390625,0.03180694580078125,0.08892822265625,42.35652542114258,94.1192855834961,0.02123260498046875,0.9517288208007813,0.0190887451171875,0,8151,341,8270,47,0,97145.0107421875,54267.218200683594,483.513916015625,34053414912,2147483648,7656087552,0
199,1772127249072,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,0.05693817138671875,15.972160339355469,9.726615905761719,0,0,24.277496337890625,2.78912353515625,3.508819580078125,2.498138427734375,0.38080596923828125,0.84515380859375,0.7606201171875,5.108253479003906,0,0.05744171142578125,59.122718811035156,47.334712982177734,0,6.40557861328125,0,0,8151,341,8270,47,0,97150.78924560547,54271.127990722656,483.513916015625,34053414912,2147483648,7647109120,0
73,1772127249272,2600,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,1496,2600,2600,1496,2600,1.0255813598632813,2.2668304443359375,0.43318939208984375,0.26206207275390625,0.3209381103515625,0.8279342651367188,1.0473480224609375,0.6919097900390625,0.9446868896484375,0.40792083740234375,0.42919921875,0.3294219970703125,1.22137451171875,0.2713470458984375,0.5695648193359375,48.34023666381836,66.72805786132813,0.29376983642578125,0.6438217163085938,0.26800537109375,0,8151,341,8090,47,0,97155.36944580078,54273.959045410156,483.513916015625,34053414912,2147483648,7635681280,0
